day,time,src_node,dst_node
0,1.041199,0,1
0,1.054933,0,1
0,1.082399,0,1
0,1.120563,0,1
0,1.592778,0,1
0,1.604805,0,1
0,1.644374,0,1
0,1.941007,0,1
0,2.306858,0,1
0,1.000000,1,0
0,1.309354,1,0
0,1.345949,1,0
0,1.503968,1,0
0,1.732098,1,0
0,1.796993,1,0
0,2.055481,1,0
0,1.030899,1,2
0,7.068243,1,2
0,1.003433,1,3
0,7.899647,1,3
0,1.034333,1,4
0,1.323718,1,4
0,1.444664,1,4
0,1.469547,1,4
0,1.726509,1,4
0,2.266358,1,4
0,1.006866,1,5
0,1.118293,1,5
0,1.246491,1,5
0,2.297882,1,5
0,1.010299,1,6
0,1.334018,1,6
0,1.372473,1,6
0,1.719642,1,6
0,1.738965,1,6
0,2.050571,1,6
0,1.037766,1,7
0,1.256791,1,7
0,1.562210,1,7
0,1.705452,1,7
0,3.740293,1,7
0,1.041199,1,8
0,15.107837,1,8
0,1.044633,1,9
0,1.313418,1,9
0,1.716209,1,9
0,2.252767,1,9
0,1.013733,1,10
0,52.601686,1,10
0,1.017166,1,12
0,3.121573,1,12
0,1.000000,1,13
0,1.183736,1,13
0,8.178237,1,13
0,1.000000,1,14
0,1.041720,1,14
0,1.744058,1,14
0,1.859937,1,14
0,1.939759,1,14
0,2.030592,1,14
0,1.048066,1,15
0,1.075533,1,15
0,1.191285,1,15
0,1.261056,1,15
0,1.284249,1,15
0,1.327151,1,15
0,1.413769,1,15
0,1.448098,1,15
0,1.526571,1,15
0,1.532223,1,15
0,1.554079,1,15
0,1.621906,1,15
0,1.641458,1,15
0,1.709342,1,15
0,1.735531,1,15
0,1.761981,1,15
0,1.779826,1,15
0,1.786693,1,15
0,1.790126,1,15
0,1.800426,1,15
0,1.805363,1,15
0,1.870005,1,15
0,2.012068,1,15
0,1.020599,1,16
0,2.589777,1,16
0,1.051499,1,17
0,3.488222,1,17
0,1.054933,1,18
0,1.087655,1,18
0,1.111427,1,18
0,1.178553,1,18
0,1.215120,1,18
0,1.253358,1,18
0,1.316851,1,18
0,1.320285,1,18
0,1.398521,1,18
0,1.417202,1,18
0,1.420635,1,18
0,1.515417,1,18
0,1.541056,1,18
0,1.557711,1,18
0,1.638025,1,18
0,1.652594,1,18
0,1.656027,1,18
0,1.743019,1,18
0,1.835162,1,18
0,2.025067,1,18
0,1.058366,1,19
0,8.676865,1,19
0,1.024033,1,20
0,2.613242,1,20
0,1.027466,1,21
0,1.065233,1,21
0,1.280816,1,21
0,1.330585,1,21
0,1.424069,1,21
0,2.534724,1,21
0,1.034333,2,1
0,1.123996,2,1
0,1.131598,2,1
0,1.325592,2,1
0,1.803461,2,1
0,3.266119,2,1
0,1.017166,3,1
0,21.212813,3,1
0,1.037766,4,1
0,1.072099,4,1
0,1.085833,4,1
0,1.092699,4,1
0,1.181831,4,1
0,1.261652,4,1
0,1.315812,4,1
0,1.329025,4,1
0,1.403541,4,1
0,1.457082,4,1
0,1.505296,4,1
0,1.649021,4,1
0,1.673471,4,1
0,1.683612,4,1
0,1.713290,4,1
0,1.728359,4,1
0,1.743036,4,1
0,1.748331,4,1
0,1.776284,4,1
