day,time,src_node,dst_node
0,1.082400,1,13
0,1.266136,1,13
0,8.260637,1,13
0,1.085696,2,13
0,1.580096,2,13
0,1.662496,2,13
0,1.902775,2,13
0,2.010030,2,13
0,2.282711,2,13
0,1.168096,4,13
0,7.265296,4,13
0,1.000000,13,4
0,2.236000,13,4
0,2.575017,13,4
0,1.082400,13,15
0,2.153600,13,15
0,9.038121,13,15
0,1.164800,13,18
0,1.329600,13,18
0,1.576800,13,18
0,1.741600,13,18
0,1.824000,13,18
0,1.906400,13,18
0,1.988800,13,18
0,2.071200,13,18
0,2.318400,13,18
0,1.247200,13,21
0,1.412000,13,21
0,1.494400,13,21
0,1.659200,13,21
0,2.400800,13,21
0,1.164800,14,13
0,2.341910,14,13
0,1.332896,18,13
0,3.720350,18,13
0,1.250496,21,13
0,1.415296,21,13
0,1.497696,21,13
0,1.744896,21,13
0,2.113278,21,13
1,1.082400,1,13
1,22.298138,1,13
1,1.085696,2,13
1,1.415296,2,13
1,1.580096,2,13
1,2.210975,2,13
1,1.168096,4,13
1,3.942192,4,13
1,1.000000,13,4
1,1.247200,13,4
1,1.329600,13,4
1,2.236000,13,4
1,2.318400,13,4
1,3.200303,13,4
1,1.082400,13,18
1,1.412000,13,18
1,1.494400,13,18
1,1.659200,13,18
1,1.741600,13,18
1,1.824000,13,18
1,1.906400,13,18
1,1.988800,13,18
1,2.071200,13,18
1,2.153600,13,18
1,2.400800,13,18
1,2.565600,13,18
1,2.730400,13,18
1,1.164800,13,21
1,1.576800,13,21
1,2.483200,13,21
1,2.648000,13,21
1,1.164800,14,13
1,14.363939,14,13
1,1.332896,18,13
1,1.662496,18,13
1,6.583437,18,13
1,1.250496,21,13
1,1.497696,21,13
1,1.744896,21,13
1,1.827296,21,13
1,2.096134,21,13
2,1.082400,1,13
2,3.418740,1,13
2,1.085696,2,13
2,1.497696,2,13
2,1.580096,2,13
2,1.662496,2,13
2,1.744896,2,13
2,1.992096,2,13
2,2.156896,2,13
2,2.486496,2,13
2,2.568896,2,13
2,2.733696,2,13
2,2.816096,2,13
2,3.063296,2,13
2,3.145696,2,13
2,1.168096,4,13
2,21.535237,4,13
2,1.000000,13,4
2,1.329600,13,4
2,1.659200,13,4
2,2.236000,13,4
2,2.730400,13,4
2,1.082400,13,15
2,5.861289,13,15
2,1.164800,13,18
2,1.412000,13,18
2,1.494400,13,18
2,1.576800,13,18
2,1.741600,13,18
2,1.906400,13,18
2,1.988800,13,18
2,2.071200,13,18
2,2.153600,13,18
2,2.318400,13,18
2,2.400800,13,18
2,2.565600,13,18
2,2.648000,13,18
2,1.247200,13,21
2,1.824000,13,21
2,2.483200,13,21
2,2.812800,13,21
2,1.164800,14,13
2,8.481564,14,13
2,1.250496,21,13
2,1.332896,21,13
2,1.415296,21,13
2,1.827296,21,13
2,1.909696,21,13
2,2.074496,21,13
2,2.239296,21,13
2,2.321696,21,13
2,2.404096,21,13
2,2.651296,21,13
2,2.898496,21,13
2,2.980896,21,13
2,3.228096,21,13
3,1.085696,2,13
3,1.580096,2,13
3,1.744896,2,13
3,1.909696,2,13
3,1.992096,2,13
3,2.239296,2,13
3,2.321696,2,13
3,2.404096,2,13
3,2.568896,2,13
3,2.898496,2,13
3,3.063296,2,13
3,1.168096,4,13
3,8.244095,4,13
3,1.000000,13,4
3,2.236000,13,4
3,3.200230,13,4
3,1.082400,13,15
3,1.906400,13,15
3,2.318400,13,15
3,2.730400,13,15
3,3.060000,13,15
3,1.164800,13,18
3,1.329600,13,18
3,1.412000,13,18
3,1.494400,13,18
3,1.576800,13,18
3,1.659200,13,18
3,1.741600,13,18
3,1.824000,13,18
3,2.071200,13,18
3,2.153600,13,18
3,2.400800,13,18
3,2.565600,13,18
3,2.648000,13,18
3,2.812800,13,18
3,2.977600,13,18
3,1.247200,13,21
3,1.988800,13,21
3,2.483200,13,21
3,2.895200,13,21
3,1.099566,14,13
3,9.972204,14,13
3,1.250496,21,13
3,1.332896,21,13
3,1.415296,21,13
3,1.497696,21,13
3,1.662496,21,13
3,1.827296,21,13
3,2.074496,21,13
3,2.156896,21,13
3,2.486496,21,13
3,2.651296,21,13
3,2.733696,21,13
3,2.816096,21,13
3,2.980896,21,13
4,1.085696,2,13
4,1.497696,2,13
4,1.580096,2,13
4,1.662496,2,13
4,1.827296,2,13
4,1.909696,2,13
4,1.992096,2,13
4,2.156896,2,13
4,2.321696,2,13
4,2.486496,2,13
4,2.568896,2,13
4,2.733696,2,13
4,1.168096,4,13
4,2.239296,4,13
4,2.898496,4,13
4,1.000000,13,4
4,3.313159,13,4
4,1.082400,13,15
4,1.412000,13,15
4,2.071200,13,15
4,2.483200,13,15
4,2.565600,13,15
4,2.812800,13,15
4,1.164800,13,18
4,1.329600,13,18
4,1.494400,13,18
4,1.576800,13,18
4,1.659200,13,18
4,1.741600,13,18
4,1.824000,13,18
4,1.906400,13,18
4,2.153600,13,18
4,2.236000,13,18
4,2.400800,13,18
4,2.730400,13,18
4,1.247200,13,21
4,1.988800,13,21
4,2.318400,13,21
4,2.648000,13,21
4,3.649401,13,21
4,1.099566,14,13
4,1.530849,14,13
4,6.671896,14,13
4,1.250496,21,13
4,1.332896,21,13
4,1.415296,21,13
4,1.744896,21,13
4,2.074496,21,13
4,2.404096,21,13
4,2.651296,21,13
4,2.816096,21,13
