day,src_node,dst_node,pkt_sent,pkt_received,average_eted,total_delay
0,0,1,9,9,0.009481814,1.3068581
1,0,1,5,5,0.011041427,1.1995561
2,0,1,7,7,0.009545445,1.132442
3,0,1,10,10,0.007775021,1.093329
4,0,1,8,8,0.008128926,1.1532121
5,0,1,7,7,0.011846968,1.0102229
6,0,1,6,6,0.01232018,1.0553441
7,0,1,10,10,0.012796688,1.044713
8,0,1,10,10,0.020167911,1.1603711
9,0,1,11,11,0.013321009,1.1774471
10,0,1,8,8,0.01651062,2.250931
11,0,1,6,6,0.023483494,1.1615989
12,0,1,6,6,0.022629797,1.504756
13,0,1,7,7,0.020992398,1.482991
14,0,1,8,8,0.018090367,1.253463
15,0,1,7,7,0.013399686,1.499254
16,0,1,5,5,0.017092204,1.274128
17,0,1,5,5,0.016387414,1.139075
18,0,1,8,8,0.011473164,1.0895641
19,0,1,5,5,0.016534995,1.1918099
20,0,1,6,6,0.01434199,1.2177739
21,0,1,6,6,0.014345507,1.151396
22,0,1,6,6,0.0144023895,1.2593541
23,0,1,0,0,0,0
24,0,1,4,4,0.018333763,1.284683
25,0,1,9,9,0.0097351335,1.1491101
26,0,1,10,10,0.0106431125,1.21415
27,0,1,8,8,0.011987641,1.024401
28,0,1,5,5,0.021558404,1.300102
29,0,1,10,10,0.013713646,1.8698461
30,0,1,6,6,0.015196522,1.3708091
31,0,1,4,4,0.014694244,1.451071
32,0,1,7,7,0.011673399,1.0371029
33,0,1,6,6,0.014053146,1.8393769
34,0,1,6,6,0.013065,1.9932001
35,0,1,5,5,0.01398058,1.703526
36,0,1,5,5,0.0143924,1.0455749
37,0,1,9,9,0.016044179,1.548482
38,0,1,5,5,0.012606573,1.0757599
39,0,1,9,9,0.009569128,1.829915
40,0,1,4,4,0.016663462,1.2723529
41,0,1,6,6,0.013069292,2.186233
42,0,1,6,6,0.020034313,1.3333809
43,0,1,9,9,0.011012342,1.2437019
44,0,1,7,7,0.016277296,1.8867741
45,0,1,4,4,0.017116219,1.0371289
46,0,1,12,12,0.0070132613,1.707437
47,0,1,8,8,0.011587501,1.082839
48,0,1,8,8,0.013722777,1.1139591
49,0,1,5,5,0.015024185,1.8506241
50,0,1,6,6,0.014923175,1.06497
51,0,1,4,4,0.028256238,1.0220699
52,0,1,5,5,0.021039438,1.1031301
53,0,1,7,7,0.016258273,1.045409
54,0,1,7,7,0.03131226,1.276644
55,0,1,6,6,0.023207188,1.701833
56,0,1,5,5,0.021360612,1.1566441
57,0,1,4,4,0.027123243,1.3124089
58,0,1,9,9,0.017354898,2.132814
59,0,1,4,4,0.026914239,1.0057759
60,0,1,7,7,0.019071579,1.0274911
61,0,1,11,11,0.019014727,1.0570631
62,0,1,7,7,0.007749132,2.471922
63,0,1,4,4,0.020711482,1.153651
64,0,1,4,4,0.021714687,1.0257959
65,0,1,8,8,0.007111281,2.515355
66,0,1,10,10,0.008162308,1.2227421
67,0,1,5,5,0.008682013,1.627706
68,0,1,7,7,0.009821688,1.858391
