day,src_node,dst_node,pkt_sent,pkt_received,average_eted,total_delay
0,0,1,9,9,0.016348362,1.3068581
1,0,1,5,5,0.010519624,1.1995561
2,0,1,7,7,0.009545445,1.132442
3,0,1,10,10,0.008544112,1.093329
4,0,1,8,8,0.014986649,1.1532121
5,0,1,7,7,0.019350529,1.0069909
6,0,1,6,6,0.013601184,1.0553441
7,0,1,10,10,0.010654295,1.044713
8,0,1,10,10,0.011666918,1.1603711
9,0,1,11,11,0.011698831,1.1774471
10,0,1,8,8,0.01564537,2.250931
11,0,1,6,6,0.0206727,1.1615989
12,0,1,6,6,0.016771475,1.504756
13,0,1,7,7,0.015106678,1.482991
14,0,1,8,8,0.017026007,1.253463
15,0,1,7,7,0.010339106,1.499254
16,0,1,5,5,0.023109412,1.274128
17,0,1,5,5,0.012624407,1.139075
18,0,1,8,8,0.009756401,1.0895641
19,0,1,5,5,0.014474988,1.1918099
20,0,1,6,6,0.011343638,1.2177739
21,0,1,6,6,0.01091216,1.151396
22,0,1,6,6,0.0122197075,1.2593541
23,0,1,0,0,0,0
24,0,1,4,4,0.012977749,1.284683
25,0,1,9,9,0.009262125,1.1491101
26,0,1,10,10,0.008500695,1.21415
27,0,1,8,8,0.016840383,1.024401
28,0,1,5,5,0.034769773,1.300102
29,0,1,10,10,0.016886031,1.8698461
30,0,1,6,6,0.025633851,1.3708091
31,0,1,4,4,0.012977749,1.451071
32,0,1,7,7,0.0087304115,1.0371029
33,0,1,6,6,0.021514812,1.8393769
34,0,1,6,6,0.018672684,1.9932001
35,0,1,5,5,0.022934604,1.703526
36,0,1,5,5,0.020078015,1.0455749
37,0,1,9,9,0.024020527,1.548482
38,0,1,5,5,0.009859991,1.0757599
39,0,1,9,9,0.008806229,1.829915
40,0,1,4,4,0.021891713,1.2723529
41,0,1,6,6,0.01777778,2.186233
42,0,1,6,6,0.030468801,1.3333809
43,0,1,9,9,0.013888227,1.2437019
44,0,1,7,7,0.010503734,1.8867741
45,0,1,4,4,0.012737244,1.0371289
46,0,1,12,12,0.008684099,1.707437
47,0,1,8,8,0.01279664,1.082839
48,0,1,8,8,0.009431034,1.1139591
49,0,1,5,5,0.010399008,1.8506241
50,0,1,6,6,0.016639829,1.06497
51,0,1,4,4,0.021595478,1.0220699
52,0,1,5,5,0.016068053,1.1031301
53,0,1,7,7,0.013433133,1.045409
54,0,1,7,7,0.030939545,1.276644
55,0,1,6,6,0.019836664,1.701833
56,0,1,5,5,0.021525407,1.1566441
57,0,1,4,4,0.02691701,1.3124089
58,0,1,9,9,0.017828,2.132814
59,0,1,4,4,0.026710719,1.0057759
60,0,1,7,7,0.016300132,1.0274911
61,0,1,11,11,0.01614393,1.0570631
62,0,1,7,7,0.017534716,2.471922
63,0,1,4,4,0.028603941,1.153651
64,0,1,4,4,0.028488219,1.0257959
65,0,1,8,8,0.015694529,2.515355
66,0,1,10,10,0.021515096,1.2227421
67,0,1,5,5,0.008922172,1.627706
68,0,1,7,7,0.02080982,1.858391
69,0,1,6,6,0.020455798,1.217191
70,0,1,4,4,0.014174253,1.4801569
71,0,1,3,3,0.022785624,1.235925
72,0,1,4,4,0.027320474,1.010469
73,0,1,6,6,0.019226491,1.780721
74,0,1,3,3,0.02965196,1.443573
75,0,1,6,6,0.018329501,1.159225
76,0,1,4,4,0.01663071,1.517185
77,0,1,3,3,0.023913702,2.023147
78,0,1,6,6,0.01795884,1.3391011
79,0,1,4,4,0.022709489,1.292969
80,0,1,4,4,0.022387266,1.1560049
81,0,1,5,5,0.017337203,1.7962279
82,0,1,4,4,0.021015823,1.55865
83,0,1,4,4,0.023157448,1.36602
84,0,1,4,4,0.018095016,1.0085001
85,0,1,3,3,0.029343406,1.544507
86,0,1,3,3,0.03486097,1.253264
87,0,1,5,5,0.021324396,1.0731189
88,0,1,4,4,0.035648763,1.067713
89,0,1,7,7,0.01587161,1.0484021
90,0,1,5,5,0.014171195,1.2011559
91,0,1,4,4,0.025440514,1.053916
92,0,1,6,6,0.0217248,1.4065869
93,0,1,4,4,0.039143562,1.0903981
94,0,1,5,5,0.020267058,1.1036971
95,0,1,7,7,0.02191157,1.673177
96,0,1,5,5,0.022528816,1.218241
97,0,1,9,9,0.016786627,1.4272709
98,0,1,8,8,0.023023471,1.1451249
99,0,1,5,5,0.009440446,1.0084381
100,0,1,7,7,0.021213446,1.1353731
101,0,1,5,5,0.015353775,1.1344409
102,0,1,6,6,0.00930949,1.139621
103,0,1,12,12,0.006917467,1.0121951
104,0,1,9,9,0.010071105,1.063364
105,0,1,7,7,0.019851685,1.777802
106,0,1,8,8,0.018986017,1.204817
107,0,1,9,9,0.021351337,1.0189979
108,0,1,5,5,0.019858599,1.610235
109,0,1,4,4,0.023130447,1.051501
110,0,1,8,8,0.013180137,1.163466
111,0,1,5,5,0.020581007,1.4592681
112,0,1,7,7,0.015268564,1.1005471
113,0,1,5,5,0.024061179,1.1867709
114,0,1,4,4,0.008273959,2.231483
115,0,1,5,5,0.020947982,1.177289
0,0,2,20,20,0.0008239985,1.0197661
1,0,2,20,20,0.00082398055,1.217596
2,0,2,23,23,0.0008240057,1.0073819
3,0,2,15,15,0.0008239985,1.0357699
4,0,2,14,14,0.00082399166,1.016878
5,0,2,26,26,0.00082400214,1.026099
6,0,2,25,25,0.00082400325,1.1749411
7,0,2,24,24,0.00082399946,1.016591
8,0,2,18,18,0.00082399446,1.158772
9,0,2,18,18,0.0008239746,1.178086
10,0,2,20,20,0.00082398654,1.0204961
11,0,2,21,21,0.00082399166,1.036125
12,0,2,14,14,0.00082399166,1.2840369
13,0,2,8,8,0.0008240044,1.026953
14,0,2,21,21,0.00082400866,0.9955481
15,0,2,11,11,0.0008239746,1.001972
16,0,2,17,17,0.00082400267,1.0204731
17,0,2,27,27,0.0008240011,1.042928
18,0,2,21,21,0.00082399166,1.0423391
19,0,2,25,25,0.0008239889,1.077563
20,0,2,21,21,0.00082402,1.012805
21,0,2,22,22,0.00082398544,1.0331981
22,0,2,12,12,0.00082398456,1.0061669
23,0,2,3,3,0.0008239746,5.329152
24,0,2,19,19,0.00082403107,1.079474
25,0,2,21,21,0.00082398596,1.018451
26,0,2,18,18,0.00082399446,1.0044441
27,0,2,20,20,0.0008239925,0.997071
28,0,2,15,15,0.0008240064,1.176106
29,0,2,17,17,0.0008239956,1.034081
30,0,2,19,19,0.000824006,1.030421
31,0,2,21,21,0.0008239973,1.071533
32,0,2,17,17,0.00082398864,1.162045
33,0,2,15,15,0.0008239746,1.035882
34,0,2,14,14,0.00082399166,1.0511019
35,0,2,17,17,0.0008239956,1.0548371
36,0,2,15,15,0.0008239905,1.0013831
37,0,2,11,11,0.000824018,1.032716
38,0,2,10,10,0.0008239985,1.054621
39,0,2,18,18,0.0008239879,1.0002561
40,0,2,15,15,0.0008240064,1.042503
41,0,2,10,10,0.0008239746,1.0382551
42,0,2,13,13,0.00082399294,1.236768
43,0,2,7,7,0.00082399166,1.068212
44,0,2,14,14,0.00082400866,1.054651
45,0,2,24,24,0.00082399946,1.020019
46,0,2,18,18,0.0008239879,1.012321
47,0,2,30,30,0.0008239985,1.016526
48,0,2,15,15,0.0008239985,1.0151291
49,0,2,15,15,0.0008240064,1.0201039
50,0,2,12,12,0.0008239746,1.0371059
