day,src_node,dst_node,pkt_sent,pkt_received,average_eted,total_delay
0,0,1,9,9,0.008685244,1.3068581
1,0,1,5,5,0.0072508096,1.1995561
2,0,1,7,7,0.011134573,1.132442
3,0,1,10,10,0.011747813,1.093329
4,0,1,8,8,0.0064121634,1.1532121
5,0,1,7,7,0.019191265,1.0069909
6,0,1,6,6,0.012456675,1.0553441
7,0,1,10,10,0.009102404,1.044713
8,0,1,10,10,0.010948527,1.1603711
9,0,1,11,11,0.009725278,1.1774471
10,0,1,8,8,0.007062003,2.250931
11,0,1,6,6,0.0075116754,1.1615989
12,0,1,6,6,0.010325651,1.504756
13,0,1,7,7,0.01030767,1.482991
14,0,1,8,8,0.009490117,1.253463
15,0,1,7,7,0.010947398,1.499254
16,0,1,5,5,0.012928176,1.274128
17,0,1,5,5,0.013118791,1.139075
18,0,1,8,8,0.009327278,1.0895641
19,0,1,5,5,0.013278389,1.1918099
20,0,1,6,6,0.012053152,1.2177739
21,0,1,6,6,0.011484325,1.151396
22,0,1,6,6,0.011784713,1.2593541
23,0,1,0,0,0,0
24,0,1,4,4,0.011467248,1.284683
25,0,1,9,9,0.007536703,1.1491101
26,0,1,10,10,0.009351206,1.21415
27,0,1,8,8,0.008061141,1.024401
28,0,1,5,5,0.01767857,1.300102
29,0,1,10,10,0.011430442,1.8698461
30,0,1,6,6,0.01132822,1.3708091
31,0,1,4,4,0.008892238,1.451071
32,0,1,7,7,0.007318105,1.0371029
33,0,1,6,6,0.008399825,1.8393769
34,0,1,6,6,0.00919501,1.9932001
35,0,1,5,5,0.0092364075,1.703526
36,0,1,5,5,0.011194801,1.0455749
37,0,1,9,9,0.009177353,1.5489781
38,0,1,5,5,0.007862782,1.0757599
39,0,1,9,9,0.0064912373,1.829915
40,0,1,4,4,0.014166474,1.2723529
41,0,1,6,6,0.008622308,2.186233
42,0,1,6,6,0.011450827,1.3333809
43,0,1,9,9,0.00929402,1.2437019
44,0,1,7,7,0.010391593,1.8867741
45,0,1,4,4,0.0074844956,1.0371289
46,0,1,12,12,0.0065084198,1.707437
47,0,1,8,8,0.008257151,1.082839
48,0,1,8,8,0.009094402,1.1139591
49,0,1,5,5,0.008339214,1.8506241
50,0,1,6,6,0.008192182,1.06497
51,0,1,4,4,0.021767229,1.0220699
52,0,1,5,5,0.018771648,1.1031301
53,0,1,7,7,0.0147281205,1.045409
54,0,1,7,7,0.051519956,1.276644
55,0,1,6,6,0.01677551,1.701833
56,0,1,5,5,0.023124028,1.1566441
57,0,1,4,4,0.027775496,1.3124089
58,0,1,9,9,0.015142335,2.132814
59,0,1,4,4,0.030796736,1.0057759
60,0,1,7,7,0.018752575,1.0274911
