day,src_node,dst_node,pkt_sent,pkt_received,average_eted,total_delay
0,0,1,9,9,0.014895704,1.3068581
1,0,1,5,5,0.01774304,1.1995561
2,0,1,7,7,0.01554886,1.132442
3,0,1,10,10,0.011551714,1.093329
4,0,1,8,8,0.012669161,1.1532121
5,0,1,7,7,0.018761976,1.0069909
6,0,1,6,6,0.020193199,1.0553441
7,0,1,10,10,0.012256121,1.044713
8,0,1,10,10,0.01622653,1.1603711
9,0,1,11,11,0.0123845665,1.1774471
10,0,1,8,8,0.013293505,2.250931
11,0,1,6,6,0.016204854,1.1615989
12,0,1,6,6,0.016632974,1.504756
13,0,1,7,7,0.015852246,1.482991
14,0,1,8,8,0.014228135,1.253463
15,0,1,7,7,0.014492835,1.499254
16,0,1,5,5,0.019271184,1.274128
17,0,1,5,5,0.018639635,1.139075
18,0,1,8,8,0.012760654,1.0895641
19,0,1,5,5,0.019638801,1.1918099
20,0,1,6,6,0.016683161,1.2177739
21,0,1,6,6,0.017206669,1.151396
22,0,1,6,6,0.020803055,1.2593541
23,0,1,0,0,0,0
24,0,1,4,4,0.02070275,1.284683
25,0,1,9,9,0.011169566,1.1491101
26,0,1,10,10,0.0122774,1.21415
27,0,1,8,8,0.01399076,1.024401
28,0,1,5,5,0.028946972,1.300102
29,0,1,10,10,0.017657936,1.8698461
30,0,1,6,6,0.026822707,1.3708091
31,0,1,4,4,0.020290732,1.451071
32,0,1,7,7,0.013517533,1.0371029
33,0,1,6,6,0.017783979,1.8393769
34,0,1,6,6,0.016795835,1.9932001
35,0,1,5,5,0.018457603,1.703526
36,0,1,5,5,0.01943481,1.0455749
37,0,1,9,9,0.02252943,1.548482
38,0,1,5,5,0.017475987,1.0757599
39,0,1,9,9,0.012239575,1.829915
40,0,1,4,4,0.021891505,1.2723529
41,0,1,6,6,0.017074803,2.186233
42,0,1,6,6,0.034119368,1.3333809
43,0,1,9,9,0.012545347,1.2437019
44,0,1,7,7,0.022653444,1.8867741
45,0,1,4,4,0.019192219,1.0371289
46,0,1,12,12,0.009897172,1.707437
47,0,1,8,8,0.013527274,1.082839
48,0,1,8,8,0.018340543,1.1139591
49,0,1,5,5,0.019308995,1.8506241
50,0,1,6,6,0.017212013,1.06497
51,0,1,4,4,0.022213489,1.0220699
52,0,1,5,5,0.01672721,1.1031301
53,0,1,7,7,0.013433133,1.045409
54,0,1,7,7,0.028604848,1.276644
55,0,1,6,6,0.016775528,1.701833
56,0,1,5,5,0.019822622,1.1566441
57,0,1,4,4,0.022625506,1.3124089
58,0,1,9,9,0.013051894,2.132814
59,0,1,4,4,0.024135739,1.0057759
60,0,1,7,7,0.015511019,1.0274911
61,0,1,11,11,0.016517736,1.0570631
62,0,1,7,7,0.014125279,2.471922
63,0,1,4,4,0.021466732,1.153651
64,0,1,4,4,0.02045396,1.0257959
65,0,1,8,8,0.013119534,2.515355
66,0,1,10,10,0.017010499,1.2227421
67,0,1,5,5,0.0191468,1.627706
68,0,1,7,7,0.01663099,1.858391
69,0,1,6,6,0.01816698,1.217191
70,0,1,4,4,0.015890777,1.4801569
71,0,1,3,3,0.020496646,1.235925
72,0,1,4,4,0.024549484,1.010469
73,0,1,6,6,0.015221,1.780721
74,0,1,3,3,0.020324945,1.443573
75,0,1,6,6,0.015925348,1.159225
76,0,1,4,4,0.015772223,1.517185
77,0,1,3,3,0.019335708,2.023147
78,0,1,6,6,0.013953169,1.3391011
79,0,1,4,4,0.020134509,1.292969
80,0,1,4,4,0.021354258,1.1560049
81,0,1,5,5,0.015799403,1.7962279
82,0,1,4,4,0.023432821,1.55865
83,0,1,4,4,0.018865705,1.36602
84,0,1,4,4,0.015520006,1.0085001
85,0,1,3,3,0.02604405,1.544507
86,0,1,3,3,0.029022336,1.253264
87,0,1,5,5,0.017891001,1.0731189
88,0,1,4,4,0.025428534,1.067713
89,0,1,7,7,0.015171477,1.0484021
90,0,1,5,5,0.012881374,1.2011559
91,0,1,4,4,0.021551013,1.053916
92,0,1,6,6,0.017009655,1.4065869
93,0,1,4,4,0.024105549,1.0903981
94,0,1,5,5,0.018319463,1.1036971
95,0,1,7,7,0.015490719,1.673177
96,0,1,5,5,0.021446418,1.218241
97,0,1,9,9,0.012178421,1.4272709
98,0,1,8,8,0.018830612,1.1451249
99,0,1,5,5,0.019575667,1.0078571
100,0,1,7,7,0.014268296,1.1354711
101,0,1,5,5,0.018759608,1.1344409
102,0,1,6,6,0.017320653,1.139621
103,0,1,12,12,0.010945012,1.0121951
104,0,1,9,9,0.010757552,1.063364
105,0,1,7,7,0.012870108,1.777802
106,0,1,8,8,0.013303876,1.204817
107,0,1,9,9,0.013996456,1.0189979
108,0,1,5,5,0.021039795,1.610235
109,0,1,4,4,0.022419214,1.051501
110,0,1,8,8,0.014012128,1.163466
111,0,1,5,5,0.017364193,1.4592681
